"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"DP1_0001C","Count!!SEX AND AGE!!Total population"
"DP1_0001CA","Annotation of Count!!SEX AND AGE!!Total population"
"DP1_0002C","Count!!SEX AND AGE!!Total population!!Under 5 years"
"DP1_0002CA","Annotation of Count!!SEX AND AGE!!Total population!!Under 5 years"
"DP1_0003C","Count!!SEX AND AGE!!Total population!!5 to 9 years"
"DP1_0003CA","Annotation of Count!!SEX AND AGE!!Total population!!5 to 9 years"
"DP1_0004C","Count!!SEX AND AGE!!Total population!!10 to 14 years"
"DP1_0004CA","Annotation of Count!!SEX AND AGE!!Total population!!10 to 14 years"
"DP1_0005C","Count!!SEX AND AGE!!Total population!!15 to 19 years"
"DP1_0005CA","Annotation of Count!!SEX AND AGE!!Total population!!15 to 19 years"
"DP1_0006C","Count!!SEX AND AGE!!Total population!!20 to 24 years"
"DP1_0006CA","Annotation of Count!!SEX AND AGE!!Total population!!20 to 24 years"
"DP1_0007C","Count!!SEX AND AGE!!Total population!!25 to 29 years"
"DP1_0007CA","Annotation of Count!!SEX AND AGE!!Total population!!25 to 29 years"
"DP1_0008C","Count!!SEX AND AGE!!Total population!!30 to 34 years"
"DP1_0008CA","Annotation of Count!!SEX AND AGE!!Total population!!30 to 34 years"
"DP1_0009C","Count!!SEX AND AGE!!Total population!!35 to 39 years"
"DP1_0009CA","Annotation of Count!!SEX AND AGE!!Total population!!35 to 39 years"
"DP1_0010C","Count!!SEX AND AGE!!Total population!!40 to 44 years"
"DP1_0010CA","Annotation of Count!!SEX AND AGE!!Total population!!40 to 44 years"
"DP1_0011C","Count!!SEX AND AGE!!Total population!!45 to 49 years"
"DP1_0011CA","Annotation of Count!!SEX AND AGE!!Total population!!45 to 49 years"
"DP1_0012C","Count!!SEX AND AGE!!Total population!!50 to 54 years"
"DP1_0012CA","Annotation of Count!!SEX AND AGE!!Total population!!50 to 54 years"
"DP1_0013C","Count!!SEX AND AGE!!Total population!!55 to 59 years"
"DP1_0013CA","Annotation of Count!!SEX AND AGE!!Total population!!55 to 59 years"
"DP1_0014C","Count!!SEX AND AGE!!Total population!!60 to 64 years"
"DP1_0014CA","Annotation of Count!!SEX AND AGE!!Total population!!60 to 64 years"
"DP1_0015C","Count!!SEX AND AGE!!Total population!!65 to 69 years"
"DP1_0015CA","Annotation of Count!!SEX AND AGE!!Total population!!65 to 69 years"
"DP1_0016C","Count!!SEX AND AGE!!Total population!!70 to 74 years"
"DP1_0016CA","Annotation of Count!!SEX AND AGE!!Total population!!70 to 74 years"
"DP1_0017C","Count!!SEX AND AGE!!Total population!!75 to 79 years"
"DP1_0017CA","Annotation of Count!!SEX AND AGE!!Total population!!75 to 79 years"
"DP1_0018C","Count!!SEX AND AGE!!Total population!!80 to 84 years"
"DP1_0018CA","Annotation of Count!!SEX AND AGE!!Total population!!80 to 84 years"
"DP1_0019C","Count!!SEX AND AGE!!Total population!!85 years and over"
"DP1_0019CA","Annotation of Count!!SEX AND AGE!!Total population!!85 years and over"
"DP1_0020C","Count!!SEX AND AGE!!Total population!!Selected Age Categories!!16 years and over"
"DP1_0020CA","Annotation of Count!!SEX AND AGE!!Total population!!Selected Age Categories!!16 years and over"
"DP1_0021C","Count!!SEX AND AGE!!Total population!!Selected Age Categories!!18 years and over"
"DP1_0021CA","Annotation of Count!!SEX AND AGE!!Total population!!Selected Age Categories!!18 years and over"
"DP1_0022C","Count!!SEX AND AGE!!Total population!!Selected Age Categories!!21 years and over"
"DP1_0022CA","Annotation of Count!!SEX AND AGE!!Total population!!Selected Age Categories!!21 years and over"
"DP1_0023C","Count!!SEX AND AGE!!Total population!!Selected Age Categories!!62 years and over"
"DP1_0023CA","Annotation of Count!!SEX AND AGE!!Total population!!Selected Age Categories!!62 years and over"
"DP1_0024C","Count!!SEX AND AGE!!Total population!!Selected Age Categories!!65 years and over"
"DP1_0024CA","Annotation of Count!!SEX AND AGE!!Total population!!Selected Age Categories!!65 years and over"
"DP1_0025C","Count!!SEX AND AGE!!Male population"
"DP1_0025CA","Annotation of Count!!SEX AND AGE!!Male population"
"DP1_0026C","Count!!SEX AND AGE!!Male population!!Under 5 years"
